images,labels
"[[[ 91 106 119]
  [ 74  96 112]
  [ 74  97 112]
  ..., 
  [ 81  89 111]
  [ 92 100 119]
  [ 93  99 113]]

 [[ 78  91 105]
  [ 73  86 101]
  [ 91 108 123]
  ..., 
  [ 95 102 128]
  [ 95 101 128]
  [ 97 102 126]]

 [[ 75  88 102]
  [ 76  93 107]
  [ 73  91 101]
  ..., 
  [ 99 109 127]
  [ 94 104 124]
  [ 93 106 124]]

 ..., 
 [[114 139 155]
  [120 144 156]
  [120 145 160]
  ..., 
  [ 91  57  63]
  [ 75  42  47]
  [ 75  44  48]]

 [[120 139 160]
  [119 136 152]
  [122 144 161]
  ..., 
  [ 66  33  37]
  [ 75  43  46]
  [ 70  40  40]]

 [[116 140 157]
  [124 141 157]
  [124 140 155]
  ..., 
  [ 72  40  41]
  [ 73  41  43]
  [ 72  39  46]]]",0
"[[[ 84 109 126]
  [ 63  82  98]
  [ 58  78  95]
  ..., 
  [ 77  87 105]
  [ 83  94 108]
  [ 79  90 104]]

 [[ 63  85  93]
  [ 67  87 103]
  [ 64  84 100]
  ..., 
  [ 83  92 106]
  [ 92 100 117]
  [ 88  98 112]]

 [[ 77  96 108]
  [ 78  96 110]
  [ 70  85 101]
  ..., 
  [ 90  97 112]
  [ 89  95 113]
  [ 82  92 109]]

 ..., 
 [[112 139 159]
  [115 139 160]
  [115 138 154]
  ..., 
  [ 63  36  40]
  [ 72  39  44]
  [ 57  23  29]]

 [[107 131 153]
  [107 132 150]
  [120 143 159]
  ..., 
  [ 62  40  42]
  [ 64  33  38]
  [ 62  30  35]]

 [[109 130 152]
  [118 143 162]
  [116 137 158]
  ..., 
  [ 59  36  38]
  [ 62  34  40]
  [ 77  48  57]]]",0
"[[[ 82 109 124]
  [ 62  81  92]
  [ 60  76  88]
  ..., 
  [ 80  92 104]
  [ 73  85 100]
  [ 96 106 123]]

 [[ 66  82  95]
  [ 68  81  94]
  [ 66  84  95]
  ..., 
  [ 75  85 102]
  [ 85  94 114]
  [ 83  92 112]]

 [[ 82  98 111]
  [ 81  95 110]
  [ 75  94 107]
  ..., 
  [ 83  93 111]
  [ 96 103 126]
  [ 81  89 112]]

 ..., 
 [[114 139 157]
  [115 138 157]
  [114 137 153]
  ..., 
  [ 66  34  35]
  [ 67  34  37]
  [ 66  32  38]]

 [[115 141 158]
  [109 134 151]
  [125 146 162]
  ..., 
  [ 67  36  38]
  [ 64  33  32]
  [ 58  27  28]]

 [[109 133 151]
  [113 137 158]
  [114 137 159]
  ..., 
  [ 77  45  50]
  [ 54  28  34]
  [ 66  39  48]]]",0
"[[[ 80 105 114]
  [ 67  85  92]
  [ 64  78  94]
  ..., 
  [ 77  87  96]
  [ 89  98 110]
  [ 71  78  96]]

 [[ 55  71  81]
  [ 58  74  82]
  [ 69  90 100]
  ..., 
  [ 76  87 101]
  [ 85  94 111]
  [ 89  95 117]]

 [[ 70  87 100]
  [ 74  93 105]
  [ 66  91 102]
  ..., 
  [ 82  92 109]
  [ 95 105 122]
  [ 95 103 126]]

 ..., 
 [[104 130 150]
  [114 140 155]
  [111 137 149]
  ..., 
  [ 73  39  44]
  [ 66  34  39]
  [ 67  35  46]]

 [[114 139 162]
  [108 133 153]
  [114 140 157]
  ..., 
  [ 74  43  47]
  [ 65  36  37]
  [ 72  39  46]]

 [[110 135 161]
  [115 139 165]
  [109 133 157]
  ..., 
  [ 73  42  44]
  [ 63  38  41]
  [ 60  31  43]]]",0
"[[[ 96 117 129]
  [ 75  91 105]
  [ 60  81  93]
  ..., 
  [ 72  83 101]
  [ 90 100 119]
  [ 84  92 121]]

 [[ 69  85 102]
  [ 63  79  87]
  [ 69  95 101]
  ..., 
  [ 91 103 128]
  [ 88  97 123]
  [ 81  88 113]]

 [[ 50  64  82]
  [ 71  88 100]
  [ 73  96 103]
  ..., 
  [ 81  92 113]
  [ 90  99 124]
  [ 88  95 121]]

 ..., 
 [[105 131 148]
  [111 136 154]
  [117 144 158]
  ..., 
  [ 62  34  34]
  [ 63  31  34]
  [ 70  35  45]]

 [[115 142 163]
  [111 134 159]
  [114 139 160]
  ..., 
  [ 72  48  52]
  [ 67  37  40]
  [ 61  27  32]]

 [[109 137 158]
  [111 133 161]
  [107 131 155]
  ..., 
  [ 60  37  41]
  [ 55  28  33]
  [ 64  39  46]]]",0
"[[[ 87  99 112]
  [ 77  91 103]
  [ 62  84  95]
  ..., 
  [ 82  91 109]
  [ 91  99 117]
  [ 73  82 103]]

 [[ 78  89 104]
  [ 65  82  88]
  [ 64  93  92]
  ..., 
  [ 85  99 118]
  [ 82  91 115]
  [ 83  93 111]]

 [[ 43  67  58]
  [ 56  85  92]
  [ 69  98 103]
  ..., 
  [ 89  99 116]
  [ 82  94 116]
  [ 77  88 111]]

 ..., 
 [[ 96 120 143]
  [112 134 156]
  [116 134 155]
  ..., 
  [ 72  42  47]
  [ 71  37  43]
  [ 77  43  52]]

 [[115 141 165]
  [113 136 160]
  [114 136 159]
  ..., 
  [ 76  44  48]
  [ 70  38  41]
  [ 70  36  42]]

 [[105 135 156]
  [112 136 161]
  [114 137 162]
  ..., 
  [ 69  38  41]
  [ 63  36  37]
  [ 60  35  39]]]",0
"[[[ 72  86 100]
  [ 71  83  96]
  [ 44  61  73]
  ..., 
  [ 92  99 118]
  [ 88  98 115]
  [ 82  93 111]]

 [[ 72  85  98]
  [ 62  76  83]
  [ 71  94 100]
  ..., 
  [ 83  96 111]
  [ 76  86 103]
  [ 87  97 115]]

 [[ 66  82  89]
  [ 61  82  93]
  [ 76 100 111]
  ..., 
  [ 88  99 113]
  [ 88  98 115]
  [ 77  89 103]]

 ..., 
 [[ 86 107 129]
  [113 136 157]
  [111 132 154]
  ..., 
  [ 75  41  47]
  [ 73  38  45]
  [ 69  32  40]]

 [[111 135 157]
  [114 138 159]
  [116 139 161]
  ..., 
  [ 72  40  45]
  [ 65  29  35]
  [ 74  36  42]]

 [[110 137 158]
  [110 134 158]
  [114 137 156]
  ..., 
  [ 65  35  40]
  [ 62  36  41]
  [ 56  32  37]]]",0
"[[[ 95 114 127]
  [ 63  77  93]
  [ 54  73  86]
  ..., 
  [ 83  92 113]
  [ 90 101 118]
  [ 81  97 110]]

 [[ 72  88  98]
  [ 63  78  88]
  [ 65  87  99]
  ..., 
  [ 76  87 107]
  [ 87  98 116]
  [ 91 106 122]]

 [[ 76  88 100]
  [ 66  84 100]
  [ 77 101 113]
  ..., 
  [ 92 105 120]
  [ 86  96 112]
  [ 82  95 109]]

 ..., 
 [[112 131 152]
  [112 137 157]
  [107 132 152]
  ..., 
  [ 76  44  45]
  [ 78  45  44]
  [ 69  38  41]]

 [[113 136 157]
  [111 135 159]
  [107 131 155]
  ..., 
  [ 57  24  28]
  [ 61  28  31]
  [ 63  31  35]]

 [[109 133 157]
  [111 135 158]
  [112 136 160]
  ..., 
  [ 56  24  29]
  [ 61  34  38]
  [ 64  41  45]]]",0
"[[[ 73  93 111]
  [ 71  85 103]
  [ 42  68  82]
  ..., 
  [ 69  84 100]
  [ 83 101 115]
  [ 87 105 122]]

 [[ 59  81  89]
  [ 62  75  85]
  [ 69  93 105]
  ..., 
  [ 88  99 124]
  [ 79  92 116]
  [ 82  96 117]]

 [[ 64  82  93]
  [ 69  83  98]
  [ 74  95 110]
  ..., 
  [ 92 103 123]
  [ 88  98 118]
  [ 85  97 112]]

 ..., 
 [[103 127 148]
  [114 139 160]
  [110 136 152]
  ..., 
  [ 71  37  43]
  [ 61  27  30]
  [ 78  47  53]]

 [[109 133 155]
  [110 134 155]
  [105 131 147]
  ..., 
  [ 67  37  42]
  [ 66  34  36]
  [ 61  30  29]]

 [[113 137 158]
  [111 137 155]
  [116 142 156]
  ..., 
  [ 60  37  41]
  [ 69  36  44]
  [ 74  43  48]]]",0
"[[[ 90 106 114]
  [ 77  92 101]
  [ 66  88  99]
  ..., 
  [ 73  87 102]
  [ 77  90 106]
  [ 79  91 109]]

 [[ 59  80  78]
  [ 74  89  93]
  [ 65  85  96]
  ..., 
  [ 87  95 114]
  [ 90  99 117]
  [ 70  80  98]]

 [[ 66  86  90]
  [ 67  84  96]
  [ 62  78  94]
  ..., 
  [ 87  97 114]
  [ 82  93 110]
  [ 80  90 107]]

 ..., 
 [[106 133 153]
  [106 131 150]
  [114 139 155]
  ..., 
  [ 76  45  54]
  [ 64  35  36]
  [ 72  45  49]]

 [[107 130 156]
  [116 141 162]
  [114 138 156]
  ..., 
  [ 69  38  46]
  [ 68  36  40]
  [ 65  32  37]]

 [[108 132 154]
  [108 133 152]
  [115 136 157]
  ..., 
  [ 67  37  42]
  [ 72  38  45]
  [ 67  33  40]]]",0
